 retrosheet_team_id |          city           |     nickname     | first_season | last_season 
--------------------+-------------------------+------------------+--------------+-------------
 CH1                | Chicago                 | White Stockings  |         1871 |        1871
 FW1                | Ft. Wayne               | Kekiongas        |         1871 |        1871
 RC1                | Rockford                | Forest Citys     |         1871 |        1871
 BR1                | Brooklyn                | Eckfords         |         1872 |        1872
 MID                | Middletown              | Mansfields       |         1872 |        1872
 WS3                | Washington              | Olympics         |         1871 |        1872
 WS4                | Washington              | Nationals        |         1872 |        1872
 TRO                | Troy                    | Haymakers        |         1871 |        1872
 CL1                | Cleveland               | Forest Cities    |         1871 |        1872
 BL4                | Baltimore               | Marylands        |         1873 |        1873
 ELI                | Elizabeth               | Resolutes        |         1873 |        1873
 WS5                | Washington              | Nationals        |         1873 |        1873
 BL1                | Baltimore               | Lord Baltimores  |         1872 |        1874
 WS6                | Washington              | Olympics         |         1875 |        1875
 BR2                | Brooklyn                | Atlantics        |         1872 |        1875
 HR1                | Hartford                | Dark Blues       |         1874 |        1875
 NH1                | New Haven               | New Havens       |         1875 |        1875
 SL2                | St. Louis               | Brown Stockings  |         1875 |        1875
 SL1                | St. Louis               | Red Stockings    |         1875 |        1875
 BS1                | Boston                  | Braves           |         1871 |        1875
 PH3                | Philadelphia            | Centennials      |         1875 |        1875
 CH2                | Chicago                 | White Stockings  |         1874 |        1875
 PH2                | Philadelphia            | White Stockings  |         1873 |        1875
 KEO                | Keokuk                  | Westerns         |         1875 |        1875
 PH1                | Philadelphia            | Athletics        |         1871 |        1875
 NY2                | New York                | Mutuals          |         1871 |        1875
 PHN                | Philadelphia            | Athletics        |         1876 |        1876
 NY3                | New York                | Mutuals          |         1876 |        1876
 LS1                | Louisville              | Grays            |         1876 |        1877
 HAR                | Hartford                | Dark Blues       |         1876 |        1877
 SL3                | St. Louis               | Brown Stockings  |         1876 |        1877
 ML2                | Milwaukee               | Cream Citys      |         1878 |        1878
 IN1                | Indianapolis            | Blues            |         1878 |        1878
 SR1                | Syracuse                | Stars            |         1879 |        1879
 CN4                | Cincinnati              | Stars            |         1880 |        1880
 CN1                | Cincinnati              | Reds             |         1876 |        1880
 WOR                | Worcester               | Ruby Legs        |         1880 |        1882
 TRN                | Troy                    | Trojans          |         1879 |        1882
 WS7                | Washington              | Nationals        |         1884 |        1884
 CNU                | Cincinnati              | Outlaw Reds      |         1884 |        1884
 SLU                | St. Louis               | Maroons          |         1884 |        1884
 TL1                | Toledo                  | Blue Stockings   |         1884 |        1884
 RIC                | Richmond                | Virginias        |         1884 |        1884
 WIL                | Wilmington              | Quicksteps       |         1884 |        1884
 WSU                | Washington              | Nationals        |         1884 |        1884
 BLU                | Baltimore               | Monumentals      |         1884 |        1884
 SPU                | St. Paul                | Saints           |         1884 |        1884
 MLU                | Milwaukee               | Brewers          |         1884 |        1884
 CL5                | Columbus                | Colts            |         1883 |        1884
 IN2                | Indianapolis            | Blues            |         1884 |        1884
 CL2                | Cleveland               | Spiders          |         1879 |        1884
 ALT                | Altoona                 | Mountain Citys   |         1884 |        1884
 BSU                | Boston                  | Reds             |         1884 |        1884
